City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
79,Roma,US,66.72,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
80,Coahuayana,MX,81.7,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
81,Bloomington,US,88.12,few clouds,44.8408,-93.2983,La Quinta Inn by Wyndham Minneapolis Airport Bloomington
82,Manadhoo,MV,82.67,scattered clouds,5.7667,73.3833,Bon Abri maldives
83,Saint-Francois,FR,58.44,clear sky,46.4154,3.9054,Manoir Du Bonheur
84,Dalhousie,IN,76.08,clear sky,32.5333,75.9833,Hotel Mount View
85,Kangavar,IR,59.52,clear sky,34.5043,47.9653,خانه معلم کنگاور
86,Huescar,ES,77.13,overcast clouds,37.811,-2.5412,Hotel El Maño
87,Maumere,ID,78.76,overcast clouds,-8.6199,122.2111,Sylvia Hotel
88,Emerald,AU,72.34,few clouds,-23.5333,148.1667,The Irish Village
90,Panama City,PA,77.29,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
91,Shenjiamen,CN,74.95,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
92,Voyvozh,RU,56.8,clear sky,62.892,54.9635,Gostinitsa Yakor'
93,Nizhnyaya Omka,RU,53.42,broken clouds,55.4338,74.9426,"Gostinitsa Om', Zhkkh"
94,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
95,Ylivieska,FI,51.89,overcast clouds,64.0833,24.55,hotel Käenpesä
98,Loandjili,CG,71.71,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
99,Nhulunbuy,AU,81.21,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
101,Sajanan,TN,65.32,clear sky,37.0573,9.2426,Centre de culture du tabac sejenene
102,Seoul,KR,62.2,light rain,37.5683,126.9778,롯데호텔 서울
103,Nova Odesa,UA,55.04,scattered clouds,47.3078,31.7851,У Саши
104,San Francisco De Macoris,DO,74.12,overcast clouds,19.2952,-70.2554,Hotel Las Caobas
105,Ruidoso,US,81.97,clear sky,33.3317,-105.673,Inn of the Mountain Gods
106,Katsina,NG,82.13,broken clouds,12.9894,7.6006,Katsina Motel
109,Tromso,NO,45.37,light intensity drizzle,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
